iter	RMSE	Tweedie:variance_power=1.5
0	13.29499327	27.88629451
1	13.24419647	27.28709433
2	13.19382037	26.71045804
3	13.1438982	26.15594339
4	13.09443203	25.62277234
5	13.04543146	25.11027012
6	12.99691725	24.61789413
7	12.94890251	24.14503509
8	12.90140782	23.69116652
9	12.85444597	23.25569925
10	12.80803644	22.8381185
11	12.76217667	22.43772443
12	12.71690209	22.05416961
13	12.67220586	21.6867517
14	12.62809813	21.33493558
15	12.58460242	20.99830301
16	12.54174349	20.67644904
17	12.49950512	20.36867049
18	12.45791589	20.07462943
19	12.41695688	19.79365098
20	12.37667534	19.52553184
21	12.33704711	19.26960421
22	12.2980893	19.02548858
23	12.25981381	18.79278261
24	12.22221277	18.57097143
25	12.18530921	18.3597564
26	12.14910288	18.1587006
27	12.11357238	17.9672696
28	12.07873301	17.78515666
29	12.04460042	17.61205276
30	12.01116476	17.44753445
31	11.97842371	17.29123128
32	11.94635958	17.14272254
33	11.91500151	17.00181526
34	11.88432667	16.86808448
35	11.85432747	16.74120106
36	11.8250022	16.62086828
37	11.7963581	16.50683619
38	11.7683792	16.39877051
39	11.74104631	16.29635034
40	11.7143737	16.19939096
41	11.68834432	16.10759348
42	11.66295535	16.0207291
43	11.63818291	15.93850522
44	11.61402561	15.86071799
45	11.59047439	15.78714855
46	11.56752952	15.71761459
47	11.54517479	15.65189012
48	11.52339156	15.58976288
49	11.5021794	15.53107287
50	11.48152207	15.47562659
51	11.46141791	15.42327901
52	11.44184956	15.37384594
53	11.42280717	15.32718247
54	11.40428251	15.2831458
55	11.38625426	15.24155503
56	11.36871696	15.20231575
57	11.35166306	15.16530549
58	11.33508257	15.13039912
59	11.31896078	15.09747397
60	11.30328764	15.06642103
61	11.28805305	15.037115
62	11.27324346	15.00950422
63	11.25885586	14.98348328
64	11.24487581	14.95894762
65	11.23129359	14.93583133
66	11.21809677	14.91404292
67	11.2052792	14.89351406
68	11.19282961	14.87417065
69	11.18073195	14.8559377
70	11.16898529	14.8387634
71	11.15757903	14.82257934
72	11.1465016	14.80733906
73	11.13574476	14.79298299
74	11.12530105	14.77946132
75	11.11516168	14.76672691
76	11.10531736	14.75473358
77	11.09576086	14.74343943
78	11.08648108	14.73279726
79	11.07747733	14.72278415
80	11.06873661	14.71335414
81	11.06025152	14.70447406
82	11.05201628	14.69611431
83	11.04402258	14.68824025
84	11.03626532	14.68082983
85	11.02873869	14.67385536
86	11.02143421	14.66728905
87	11.01434414	14.66110564
88	11.0074535	14.65523679
89	11.00077441	14.64975239
90	10.99429526	14.64459297
91	10.98800647	14.63973641
92	10.98190506	14.63516687
93	10.97597939	14.63083921
94	10.97023332	14.62678826
95	10.96465068	14.62294448
96	10.95924093	14.61935737
97	10.95399063	14.61597641
98	10.948898	14.61279425
99	10.94395619	14.6098017
100	10.93915659	14.60695922
101	10.93449831	14.60427453
102	10.92998427	14.60176912
103	10.92560697	14.59942333
104	10.92135639	14.59719246
105	10.91723686	14.59511252
106	10.9132327	14.59312378
107	10.90935487	14.59128334
108	10.90559446	14.58955107
109	10.90194399	14.58791447
110	10.89840296	14.58638071
111	10.89496863	14.58493665
112	10.89163243	14.58355621
113	10.8883968	14.5822609
114	10.88525442	14.58102946
115	10.88220948	14.57988478
116	10.87926001	14.57881937
117	10.87639345	14.57779744
118	10.87361688	14.57685269
119	10.87091665	14.57593754
120	10.86830006	14.57508671
121	10.86575917	14.57427982
122	10.86329964	14.57353941
123	10.86090661	14.57281469
124	10.85858483	14.57213102
125	10.85633914	14.57151088
126	10.85415251	14.57089641
127	10.85203724	14.57033996
128	10.84998407	14.56981202
129	10.84799048	14.56930515
130	10.84605502	14.56882387
131	10.84418418	14.56839228
132	10.84236518	14.56797261
133	10.8405968	14.56756473
134	10.83888179	14.56718056
135	10.83721842	14.56681905
136	10.83561103	14.56650355
137	10.83404742	14.56619128
138	10.83252619	14.56588153
139	10.83105237	14.56559446
140	10.8296287	14.56534222
141	10.82824847	14.56510696
142	10.82690982	14.56488596
143	10.82560629	14.56466413
144	10.82433782	14.56444056
