iter	Passed	Remaining
0	43	129953
1	88	133133
2	135	135828
3	197	147877
4	238	142862
5	305	152326
6	359	153883
7	412	154238
8	490	163103
9	551	165041
10	601	163384
11	651	162263
12	733	168568
13	788	168112
14	839	167079
15	890	166044
16	955	167582
17	1008	167095
18	1061	166522
19	1113	165933
20	1162	164926
21	1222	165427
22	1273	164838
23	1324	164201
24	1376	163765
25	1429	163534
26	1494	164539
27	1544	163928
28	1594	163361
29	1646	163023
30	1709	163730
31	1763	163529
32	1812	162962
33	1861	162349
34	1912	162003
35	1988	163697
36	2043	163612
37	2090	162952
38	2138	162384
39	2183	161609
40	2251	162470
41	2300	161999
42	2349	161539
43	2397	161041
44	2453	161099
45	2535	162801
46	2613	164184
47	2661	163698
48	2714	163451
49	2784	164288
50	2833	163870
51	2896	164200
52	2948	163935
53	3010	164245
54	3057	163693
55	3114	163753
56	3161	163208
57	3207	162702
58	3274	163201
59	3323	162861
60	3370	162369
61	3413	161756
62	3463	161465
63	3557	163212
64	3606	162849
65	3654	162438
66	3698	161918
67	3791	163483
68	3844	163313
69	3895	163055
70	3945	162771
71	3998	162616
72	4056	162646
73	4100	162137
74	4146	161732
75	4206	161844
76	4255	161556
77	4311	161529
78	4380	161972
79	4426	161560
80	4473	161211
81	4519	160817
82	4582	161051
83	4631	160779
84	4678	160453
85	4726	160145
86	4775	159889
87	4849	160488
88	4900	160285
89	4949	160049
90	4999	159803
91	5044	159449
92	5106	159612
93	5167	159759
94	5213	159423
95	5261	159160
96	5314	159045
97	5375	159167
98	5422	158895
99	5469	158622
100	5514	158271
101	5561	158025
102	5636	158537
103	5695	158595
104	5746	158445
105	5795	158240
106	5858	158409
107	5905	158125
108	5952	157868
109	6027	158367
110	6075	158134
111	6139	158303
112	6192	158213
113	6239	157956
114	6286	157711
115	6338	157600
116	6405	157837
117	6472	158087
118	6518	157811
119	6566	157606
120	6638	157957
121	6685	157717
122	6735	157553
123	6780	157263
124	6832	157151
125	6897	157318
126	6946	157141
127	6997	156995
128	7045	156804
129	7114	157063
130	7172	157093
131	7225	156993
132	7273	156781
133	7328	156734
134	7414	157360
135	7477	157467
136	7513	157020
137	7580	157215
138	7676	157995
139	7742	158166
140	7796	158088
141	7868	158374
142	7953	158908
143	8025	159170
144	8123	159954
145	8210	160498
146	8265	160419
147	8339	160709
148	8391	160563
149	8446	160489
150	8504	160454
151	8586	160883
152	8657	161092
153	8721	161177
154	8790	161341
155	8869	161704
156	8923	161589
157	8979	161518
158	9041	161548
159	9114	161775
160	9169	161691
161	9231	161721
162	9285	161618
163	9358	161833
164	9404	161586
165	9451	161352
166	9498	161131
167	9550	161001
168	9606	160928
169	9652	160691
170	9693	160364
171	9743	160198
172	9792	160025
173	9854	160052
174	9902	159848
175	9947	159606
176	9993	159390
177	10038	159142
178	10107	159289
179	10151	159045
180	10198	158836
181	10242	158586
182	10288	158380
183	10352	158439
184	10398	158224
185	10447	158066
186	10497	157904
187	10541	157669
188	10603	157703
189	10647	157473
190	10677	157034
191	10724	156850
192	10771	156660
193	10821	156520
194	10886	156599
195	10941	156534
196	10999	156511
197	11046	156318
198	11090	156103
199	11151	156124
200	11202	156004
201	11249	155815
202	11295	155634
203	11343	155467
204	11407	155528
205	11455	155369
206	11514	155361
207	11560	155180
208	11606	154996
209	11685	155243
210	11732	155080
211	11785	154987
212	11850	155060
213	11912	155091
214	11967	155025
215	12015	154868
216	12071	154813
217	12115	154609
218	12136	154115
219	12190	154043
220	12237	153879
221	12285	153728
222	12347	153761
223	12402	153697
224	12461	153687
225	12513	153598
226	12559	153424
227	12606	153272
228	12661	153212
229	12718	153178
230	12763	152997
231	12810	152846
232	12859	152708
233	12917	152688
234	12985	152786
235	13032	152634
236	13081	152504
237	13139	152483
238	13211	152618
239	13257	152462
240	13303	152298
241	13348	152129
242	13397	152006
243	13461	152052
244	13507	151887
245	13556	151761
246	13601	151601
247	13648	151459
248	13710	151475
249	13754	151297
250	13801	151154
251	13848	151012
252	13893	150848
253	13954	150865
254	14000	150707
255	14044	150539
256	14092	150408
257	14136	150241
258	14195	150227
259	14245	150121
260	14289	149960
261	14349	149961
262	14396	149826
263	14454	149800
264	14507	149729
265	14559	149641
266	14606	149509
267	14654	149386
268	14710	149348
269	14775	149394
270	14823	149276
271	14870	149146
272	14922	149057
273	14972	148961
274	15022	148863
275	15074	148783
276	15125	148693
277	15173	148569
278	15239	148627
279	15296	148594
280	15351	148540
281	15403	148466
282	15450	148338
283	15501	148251
284	15553	148169
285	15603	148068
286	15676	148190
287	15726	148089
288	15781	148042
289	15829	147921
290	15878	147819
291	15927	147709
292	15974	147590
293	16023	147478
294	16072	147377
295	16131	147366
296	16181	147266
297	16229	147154
298	16284	147107
299	16329	146963
300	16373	146819
301	16420	146697
302	16467	146572
303	16515	146468
304	16560	146332
305	16610	146235
306	16658	146128
307	16706	146018
308	16754	145911
309	16784	145649
310	16835	145567
311	16883	145460
312	16940	145427
313	16997	145395
314	17051	145343
315	17100	145248
316	17150	145152
317	17203	145093
318	17259	145056
319	17316	145022
320	17367	144944
321	17428	144951
322	17479	144870
323	17529	144783
324	17585	144743
325	17641	144700
326	17688	144589
327	17732	144456
328	17778	144338
329	17837	144323
330	17883	144204
331	17931	144100
332	17979	143996
333	18023	143866
334	18068	143741
335	18121	143681
336	18167	143563
337	18224	143528
338	18272	143428
339	18319	143324
340	18365	143206
341	18415	143121
342	18460	143002
343	18508	142903
344	18572	142928
345	18620	142831
346	18670	142746
347	18722	142680
348	18768	142563
349	18821	142505
350	18869	142406
351	18929	142402
352	18977	142301
353	19023	142194
354	19069	142082
355	19115	141969
356	19161	141859
357	19210	141773
358	19259	141680
359	19306	141582
360	19354	141486
361	19401	141382
362	19450	141295
363	19503	141240
364	19568	141268
365	19623	141227
366	19670	141124
367	19718	141026
368	19766	140936
369	19816	140854
370	19883	140901
371	19937	140851
372	19983	140740
373	20028	140625
374	20074	140524
375	20128	140472
376	20180	140408
377	20228	140311
378	20275	140216
379	20321	140114
380	20365	139992
381	20416	139925
382	20473	139896
383	20521	139802
384	20568	139703
385	20619	139634
386	20665	139534
387	20740	139622
388	20791	139552
389	20836	139444
390	20883	139346
391	20930	139253
392	20980	139174
393	21028	139090
394	21078	139014
395	21124	138907
396	21170	138808
