feature,importance_mean,importance_std
card_loan_amt,0.0652773454400875,0.002101348411228936
total_deposit_balance,0.06284998559166385,0.001743669272386473
fin_asset_trend_score,0.030370579604788596,0.002497014446429902
card_cash_service_amt,0.006505957396356732,0.0009947696784932227
age,0.0007641060920823062,0.00020113303469523346
credit_score,0.0003118190432617407,0.00031250620301827433
cat_ratio_Fashion,0.0002914260389182743,0.0001885488005215893
cat_ratio_Beauty,0.00028197238744680496,0.00017285990633268718
cat_ratio_Grocery,0.00023858336321258555,0.00017802976679283126
avg_gap_days,0.00015740457642006157,0.00023175948413836606
monthly_amount_mean,0.00013674390791411638,0.00012363766122561984
prefer_category,0.00011551848318627211,6.814645614844675e-05
txn_amount_mean,0.0001154016276822878,0.00010459136368537873
num_active_cards,8.415846733031974e-05,9.680240119763924e-05
fin_overdue_days,4.407232801977301e-05,7.797507425534678e-05
txn_amount_min,3.762144313905758e-05,0.00020951722360489146
cat_ratio_Home,2.7835949228949275e-05,0.00010877981682065385
is_married,2.265505100482734e-05,2.161469434166009e-05
gender,1.7709549312794337e-05,6.81027945818216e-05
item_category_nunique,1.7251990942201977e-05,7.36550313903393e-06
monthly_amount_std,1.2107421512830285e-05,0.00018934119506835049
all_month_count_sum,0.0,0.0
biz_type_nunique,0.0,0.0
all_month_amount_sum,0.0,0.0
recent_3m_count_sum,-6.957106229177334e-06,5.518902601562536e-05
txn_amount_trend,-9.580447699075733e-06,0.00028618911199771726
installment_ratio,-1.0852416705975365e-05,0.0002749521502667714
txn_per_active_day,-2.2403979407559227e-05,0.0001275900636592321
cat_ratio_Electronics,-3.9402066042981684e-05,0.00011992074831843741
recent_3m_amount_sum,-4.567534899797554e-05,0.00019045973733288396
income_group,-4.740392549023032e-05,9.583244978047988e-05
active_months,-6.901366197311631e-05,5.7753008220539024e-05
monthly_count_mean,-7.204247956913435e-05,6.606969059038515e-05
amount_per_active_day,-7.288065784776254e-05,0.0003280169196347846
txn_count,-7.56443451624067e-05,9.67861342742927e-05
biz_ratio_Offline,-8.121116965325026e-05,0.0002158869355411082
txn_amount_max,-0.00010448051859541785,0.00024207187111712354
region_code,-0.00012468906464153663,0.00023002295096142015
biz_ratio_Online,-0.00013044231984820075,8.611544096632826e-05
txn_amount_std,-0.00016574425306548068,0.00020679459470639277
monthly_count_std,-0.00016652152189369218,0.0002511875361735157
txn_amount_sum,-0.00017532961419883809,7.038789062464518e-05
recent_3m_count_ratio,-0.00018013575863684572,0.00011966344980072056
customer_active_days,-0.00018722797915491363,0.00019910445390800162
std_gap_days,-0.00022341641255148038,0.00014545300208142136
recent_3m_amount_ratio,-0.0002610098291899732,0.00015549383552179458
total_loan_balance,-0.0002870888855025733,0.00010679625138949728
recency_days,-0.00029038339812685886,0.00013865388659543748
days_since_join,-0.0005884345352096699,0.0002594124912865105
